Line,Time,Flow,Limit
Aus_36.To.Aus_8,16,-166.64973733490427,1053.0
Aus_36.To.Aus_8,17,-163.09956277617863,1053.0
Aus_36.To.Aus_8,18,-139.54454354970775,1053.0
Aus_36.To.Aus_8,19,-127.98907233252055,1053.0
Aus_36.To.Aus_8,20,-118.39657123557411,1053.0
Aus_36.To.Aus_8,21,-110.83125563920822,1053.0
Aus_36.To.Aus_8,22,-121.54503970658212,1053.0
Aus_36.To.Aus_8,23,-118.95423910994168,1053.0
Aus_36.To.Aus_8,24,-104.64561144055148,1053.0
Aus_36.To.Aus_8,25,-79.39385874427359,1053.0
Aus_36.To.Aus_8,26,-80.91456964762372,1053.0
Aus_36.To.Aus_8,27,-82.06219875966913,1053.0
Aus_36.To.Aus_8,28,-74.26155980298067,1053.0
Aus_36.To.Aus_8,29,88.51636822014746,1053.0
Aus_36.To.Aus_8,30,97.08518003685214,1053.0
Aus_36.To.Aus_8,31,101.6132914431158,1053.0
Aus_36.To.Aus_8,32,173.74744774982332,1053.0
Aus_36.To.Aus_8,33,194.1092102694246,1053.0
Aus_36.To.Aus_8,34,193.28544483589678,1053.0
Aus_36.To.Aus_8,35,206.09132638212336,1053.0
Aus_36.To.Aus_8,36,208.30164765300606,1053.0
Aus_36.To.Aus_8,37,205.21258032162228,1053.0
Aus_36.To.Aus_8,38,195.70713692290514,1053.0
Aus_36.To.Aus_8,39,186.71752226620748,1053.0
Aus_36.To.Aus_8,40,181.2367750157493,1053.0
Aus_36.To.Aus_8,41,171.34763541133867,1053.0
Aus_36.To.Aus_8,42,94.252942941263,1053.0
Aus_36.To.Aus_8,43,115.88408200135831,1053.0
Aus_36.To.Aus_8,44,63.51741077796081,1053.0
Aus_36.To.Aus_8,45,33.870881070737866,1053.0
Aus_36.To.Aus_8,46,20.009375365964118,1053.0
Aus_36.To.Aus_8,47,60.624792831100784,1053.0
Aus_36.To.Aus_8,48,72.95693195350276,1053.0
Aus_36.To.Aus_8,49,58.03019430091824,1053.0
Aus_36.To.Aus_8,50,46.19300568625923,1053.0
Aus_36.To.Aus_8,51,32.95483114688906,1053.0
Aus_36.To.Aus_8,52,25.94664988763371,1053.0
Aus_36.To.Aus_8,53,88.60787450836034,1053.0
Aus_36.To.Aus_8,54,29.40735765074883,1053.0
Aus_36.To.Aus_8,55,5.397150160217798,1053.0
Aus_36.To.Aus_8,56,11.124525089983855,1053.0
Aus_36.To.Aus_8,57,-35.071760429040665,1053.0
Aus_36.To.Aus_8,58,11.27735603751863,1053.0
Aus_36.To.Aus_8,59,9.90832509224279,1053.0
Aus_36.To.Aus_8,60,-0.056583804577371666,1053.0
Aus_36.To.Aus_8,61,36.35285434003532,1053.0
Aus_36.To.Aus_8,62,51.10740896944828,1053.0
Aus_36.To.Aus_8,63,62.88180062726795,1053.0
Aus_36.To.Aus_8,64,61.325768053220195,1053.0
Aus_36.To.Aus_8,65,65.1766309256838,1053.0
Aus_36.To.Aus_8,66,72.72487035345256,1053.0
Aus_36.To.Aus_8,67,102.23528829294477,1053.0
Aus_36.To.Aus_8,68,106.17245777753513,1053.0
Aus_36.To.Aus_8,69,136.74366722670482,1053.0
Aus_36.To.Aus_8,70,133.44170381851762,1053.0
Aus_36.To.Aus_8,71,133.50268003332621,1053.0
Aus_36.To.Aus_8,72,132.55169819273937,1053.0
Aus_36.To.Aus_8,73,139.27950922016902,1053.0
Aus_36.To.Aus_8,74,132.76692461686764,1053.0
Aus_36.To.Aus_8,75,118.55555486259927,1053.0
Aus_36.To.Aus_8,76,106.10781510241252,1053.0
Aus_36.To.Aus_8,77,101.02708619390481,1053.0
Aus_36.To.Aus_8,78,85.9230833357141,1053.0
Aus_36.To.Aus_8,79,73.8203060009711,1053.0
Aus_36.To.Aus_8,80,-0.9433471356641974,1053.0
Aus_36.To.Aus_8,81,-42.85687150500619,1053.0
Aus_36.To.Aus_8,82,-49.19734968477818,1053.0
Aus_36.To.Aus_8,83,-39.468680459839625,1053.0
Aus_36.To.Aus_8,84,-37.466074405375096,1053.0
Aus_36.To.Aus_8,85,-97.77997317905928,1053.0
Aus_36.To.Aus_8,86,-106.90395111751138,1053.0
Aus_36.To.Aus_8,87,-124.96125728658794,1053.0
Aus_36.To.Aus_8,88,-151.65614248504866,1053.0
Aus_36.To.Aus_8,89,-176.46424785896755,1053.0
Aus_36.To.Aus_8,90,-179.09741573915838,1053.0
Aus_36.To.Aus_8,91,-183.76115856547594,1053.0
Aus_36.To.Aus_8,92,-187.94514451438488,1053.0
Aus_36.To.Aus_8,93,-190.9824183438845,1053.0
Aus_36.To.Aus_8,94,-197.9536262909951,1053.0
Aus_36.To.Aus_8,95,-206.62927300010946,1053.0
Aus_36.To.Aus_8,96,-211.80896879529206,1053.0
Aus_36.To.Aus_2,1,-114.26639526894691,1053.0
Aus_36.To.Aus_2,2,-110.645528132805,1053.0
Aus_36.To.Aus_2,3,-106.24727302458578,1053.0
Aus_36.To.Aus_2,4,-113.74666981839803,1053.0
Aus_36.To.Aus_2,5,-105.29486669703336,1053.0
Aus_36.To.Aus_2,6,-113.48412500093946,1053.0
Aus_36.To.Aus_2,7,-113.7417048231268,1053.0
Aus_36.To.Aus_2,8,-118.65961555299921,1053.0
Aus_36.To.Aus_2,9,-92.92429253290847,1053.0
Aus_36.To.Aus_2,10,-101.0259250226158,1053.0
Aus_36.To.Aus_2,11,-106.1568548348163,1053.0
Aus_36.To.Aus_2,12,-101.3714006910186,1053.0
Aus_36.To.Aus_2,13,-93.34933946170665,1053.0
Aus_36.To.Aus_2,14,-105.00622312973681,1053.0
